rep,ID,timeAfterLastDose,sim_y1,censored,split,color,filter
6,7,24,69.1182,0,All,-1,0
6,8,24,95.7304,0,All,-1,0
6,9,24,30.794,0,All,-1,0
6,10,24,74.1981,0,All,-1,0
6,11,24,70.2353,0,All,-1,0
6,12,24,93.9033,0,All,-1,0
6,13,24,66.0539,0,All,-1,0
6,14,24,12.4598,0,All,-1,0
6,15,24,18.2235,0,All,-1,0
7,1,24,30.9927,0,All,-1,0
7,2,24,45.7237,0,All,-1,0
7,3,24,54.855,0,All,-1,0
7,4,24,57.5138,0,All,-1,0
7,5,24,43.3375,0,All,-1,0
7,6,24,46.3414,0,All,-1,0
7,7,24,58.6678,0,All,-1,0
7,8,24,99.7125,0,All,-1,0
7,9,24,31.3608,0,All,-1,0
7,10,24,65.1769,0,All,-1,0
7,11,24,69.0237,0,All,-1,0
7,12,24,63.6615,0,All,-1,0
7,13,24,47.7946,0,All,-1,0
7,14,24,15.2355,0,All,-1,0
7,15,24,37.9534,0,All,-1,0
8,1,24,32.8368,0,All,-1,0
8,2,24,37.4844,0,All,-1,0
8,3,24,36.7779,0,All,-1,0
8,4,24,60.1455,0,All,-1,0
8,5,24,47.6868,0,All,-1,0
8,6,24,62.1221,0,All,-1,0
8,7,24,76.0434,0,All,-1,0
8,8,24,84.2411,0,All,-1,0
8,9,24,37.0825,0,All,-1,0
8,10,24,68.0834,0,All,-1,0
8,11,24,89.0608,0,All,-1,0
8,12,24,84.1333,0,All,-1,0
8,13,24,55.6583,0,All,-1,0
8,14,24,15.7597,0,All,-1,0
8,15,24,19.7648,0,All,-1,0
9,1,24,27.7121,0,All,-1,0
9,2,24,42.422,0,All,-1,0
9,3,24,49.2768,0,All,-1,0
9,4,24,63.0315,0,All,-1,0
9,5,24,71.2317,0,All,-1,0
9,6,24,59.0827,0,All,-1,0
9,7,24,74.8853,0,All,-1,0
9,8,24,78.5666,0,All,-1,0
9,9,24,42.9505,0,All,-1,0
9,10,24,60.9355,0,All,-1,0
9,11,24,80.0277,0,All,-1,0
9,12,24,92.8643,0,All,-1,0
9,13,24,74.6297,0,All,-1,0
9,14,24,16.1704,0,All,-1,0
9,15,24,28.9686,0,All,-1,0
10,1,24,31.4917,0,All,-1,0
10,2,24,54.3526,0,All,-1,0
10,3,24,65.6411,0,All,-1,0
10,4,24,69.005,0,All,-1,0
